"id";"name";"zusatz";"restabfall";"biotonne";"papiertonne";"gelber_sack";"gruenschnitt";"del";"plz"
"781";"Roderichstraße";"";"1";"5";"13";"3";"5";"";"47441"
"782";"Römerstraße";"1-375,2-384";"1";"5";"1";"3";"5";"";"47441"
"783";"Römerstraße";"377-471a,386-464";"7";"5";"13";"3";"5";"";"47441"
"789";"Rominter Heide";"";"7";"9";"10";"6";"9";"";"47445"
"790";"Röntgenweg";"";"5";"6";"5";"5";"6";"";"47447"
"791";"Roseggerstraße";"";"8";"7";"15";"1";"7";"";"47445"
"792";"Rosendahlstraße";"";"6";"1";"3";"9";"1";"";"47447"
"793";"Rosenstraße";"";"6";"1";"3";"9";"1";"";"47447"
"794";"Rosmarinweg";"";"8";"4";"11";"6";"4";"";"47445"
"795";"Rotdornweg";"";"1";"2";"1";"4";"2";"";"47447"
"796";"Rotkehlchenweg";"";"3";"2";"8";"9";"2";"";"47441"
"797";"Rubensstraße";"";"1";"3";"2";"4";"3";"";"47447"
"798";"Rudastraße";"";"2";"8";"10";"1";"8";"";"47443"
"799";"Rudolfstraße";"";"6";"1";"3";"9";"1";"";"47447"
"800";"Ruhrorter Straße";"";"5";"6";"1";"3";"6";"";"47441"
"801";"Ruhrstraße";"";"9";"7";"9";"7";"7";"";"47443"
"802";"Rungestraße";"";"1";"3";"2";"3";"3";"";"47447"
"803";"Rüsterweg";"";"7";"4";"19";"6";"4";"";"47445"
"804";"Rüttgersweg";"";"3";"2";"12";"9";"2";"";"47441"
"805";"Saarbrücker Straße";"";"9";"7";"16";"7";"7";"";"47443"
"806";"Saarstraße";"";"6";"1";"3";"9";"1";"";"47447"
"807";"Sachsenstraße";"";"1";"3";"1";"3";"3";"";"47441,47447"
"808";"Salbeiweg";"";"8";"4";"11";"6";"4";"";"47445"
"810";"Samlandstraße";"";"7";"9";"10";"6";"9";"";"47445"
"811";"Sandforter Straße";"";"3";"9";"14";"10";"9";"";"47441"
"812";"Sandsteinweg";"";"10";"5";"7";"3";"5";"";"47441"
"813";"Sandstraße";"";"2";"10";"10";"2";"10";"";"47443,47199,47198"
"814";"Saturnring";"";"2";"8";"11";"1";"8";"";"47443"
"815";"Sauerbruchstraße";"";"6";"1";"3";"9";"1";"";"47447"
"816";"Schaltbruchweg";"";"6";"1";"3";"9";"1";"";"47447"
"817";"Schardeyshof";"";"2";"8";"11";"1";"8";"";"47443"
"818";"Schauenhof";"";"1";"3";"6";"4";"3";"";"47447"
"819";"Scherpenberger Straße";"";"2";"10";"10";"2";"10";"";"47443,47199"
"820";"Schietenweg";"";"3";"9";"14";"6";"9";"";"47506,47445"
"821";"Schillerstraße";"";"8";"7";"15";"1";"7";"";"47506,47445"
"822";"Schlägelstraße";"";"9";"7";"16";"7";"7";"";"47443"
"823";"Schlehenstraße";"";"8";"4";"11";"6";"4";"";"47445"
"824";"Schmale Straße";"";"10";"10";"15";"2";"10";"";"47443"
"825";"Schmiedegasse";"";"1";"3";"6";"4";"3";"";"47447"
"826";"Schöddungstraße";"";"6";"1";"3";"9";"1";"";"47447,47802"
"827";"Schöllingstraße";"";"2";"8";"11";"1";"8";"";"47443"
"828";"Scholtenstraße";"";"2";"8";"11";"1";"8";"";"47443"
