Straße;Restabfall;Biotonne;Papiertonne;Gelber Sack;Grünschnitt;Kehrtag
Freiligrathstraße;4;9;18;3;9;Fr
Frieda-Nadig-Straße;7;5;13;2;5;
Friedenstraße;8;10;19;6;10;Do
Friedhofstraße;6;1;3;5;1;Di
Friedrich-Ebert-Straße;6;1;3;5;1;Di
Friedrich-Schelling-Straße;2;3;5;2;3;
Friedrichstraße (*3);3;3;8;3;3;S1
Friemersheimer Straße (*1);1;5;4;2;5;Mo
Friesenstraße;8;10;19;6;10;
Frietstraße;10;10;20;6;10;
Fritz-Husemann-Straße;10;9;11;6;9;
Fritz-Peters-Straße;6;1;3;5;1;
Fritz-Reuter-Straße;6;1;3;5;1;Di
Fröbelstraße;2;3;4;2;3;Mi
Fuchsienweg;6;1;3;5;1;
Fuldastraße;9;7;9;1;7;Mo
Gabelsbergerstraße;3;3;16;1;3;Mi
Galgenbergsheide;9;7;7;4;7;Mo
Gallierring;8;10;19;6;10;
Galmesweg;4;10;14;3;10;Do
Gartenstraße;2;3;5;2;3;Fr
Gaußstraße;2;3;5;2;3;Mi
Gebrüder-Grimm-Platz;6;1;3;5;1;
Geldernsche Straße (*1);10;2;14;3;2;Fr
Gellertstraße;3;3;16;1;3;
Genender Platz;4;10;14;3;10;Mo
Genender Weg;4;10;14;3;10;
Georgstraße;6;1;3;5;1;
Geranienstraße;6;1;3;5;1;Di
Gerhardstraße;7;5;13;2;5;Mo
Gerhart-Hauptmann-Straße;4;9;18;6;9;Fr
Germanenstraße;7;5;13;2;5;Mo
Germendonks Kamp;5;7;12;4;7;Mo
Germerdonkstraße;6;1;3;5;1;Di
Gertrud-Bäumer-Straße;10;9;11;6;9;
Gertrudenweg;6;1;3;5;1;
Gimpelweg;5;7;12;4;7;
Ginsterweg;1;4;6;3;4;
Gladiolenweg;6;1;3;5;1;
Gleiwitzer Straße;5;7;10;4;7;
Glogauer Straße;5;7;10;4;7;
Glückaufstraße;9;8;9;1;8;Mo
Glücksburger Straße;9;7;9;1;7;Mo
Goebenstraße;2;3;5;2;3;Mi
Goethestraße;3;3;17;2;3;
Goldammerweg;3;2;8;3;2;
Goldaper Weg;10;9;11;6;9;Fr
Goldberger Straße;5;7;10;4;7;
Görlitzer Straße;5;7;12;4;7;
Gotenstraße;7;5;13;2;5;
Grabenstraße;6;1;3;5;1;
Grafschafter Straße;5;7;9;1;7;
Greefstraße;3;3;16;3;3;
Grenzstraße;7;5;13;2;5;Mo
Greta-Rothe-Straße;7;5;13;4;5;
Grillparzerweg;8;10;15;6;10;
Grotfeldsweg;10;1;14;5;1;
Grubenstraße;4;9;18;6;9;
Grünberger Straße;5;7;10;4;7;
Grünbergstraße;4;10;14;3;10;Do
Grüner Weg;9;6;7;1;6;Fr
Grünewaldstraße;1;4;2;3;4;
Grüngürtel;4;9;18;6;9;Fr
Guntherstraße;7;5;13;2;5;
Gustav-Grossmann-Straße;10;9;11;6;9;Do
Gutenbergstraße (*1);5;8;15;4;8;Mo
Haagstraße (*2);3;3;8;3;3;Mi
Haarbeckstraße;4;9;18;6;9;
Habichtstraße;4;9;18;6;9;
Hadrianstraße;7;5;4;2;5;Mo
Haffstraße;10;9;11;6;9;Fr
Hagebuttenweg;8;10;19;6;10;
Hagenstraße;10;10;20;6;10;
Hainbuchenstraße;5;6;13;4;6;
Haldenstraße;9;8;9;1;8;Mo
Hammerstraße;9;8;9;1;8;Mo
Hanckwitzstraße;3;3;8;3;3;Mi
Händelstraße;6;1;3;5;1;Di
Hanns-Albeck-Platz;2;3;8;2;3;Mi
Hanns-Dieter-Hüsch-Platz (*3);3;3;8;3;3;S1
Hans-Böckler-Straße;6;1;3;5;1;Di
Hans-Sachs-Straße;8;10;15;6;10;Do
Hasenweg;10;2;14;3;2;Mi
Haspelstraße;5;6;10;4;6;Di
Hattropstraße (*1);5;7;12;4;7;Mo
Havelweg;8;10;19;6;10;
Hebbelstraße;8;10;15;6;10;Do
Hedwigstraße;6;1;3;5;1;
Hegelstraße;2;3;5;2;3;Mi
Heideweg;1;4;6;3;4;Do
Heiermannsweg;4;9;18;6;9;
Heimbergstraße;1;4;4;2;4;
Heinestraße;4;9;18;3;9;Fr
Heinrich-Hertz-Straße;4;10;14;3;10;Do
Heinrich-Mann-Straße;6;1;3;5;1;
Heinrichstraße;7;5;7;2;5;Di
Heinrich-Zille-Weg;6;1;3;5;1;Di
Heinz-Kremers-Straße;2;3;4;2;3;
Heisterfeldstraße;10;10;20;6;10;
Heisterweg;8;10;19;6;10;
Helenenstraße;6;1;3;5;1;
Helene-Weber-Straße;7;5;13;2;5;
Helene-Wessel-Straße;7;5;13;2;5;
Helmholtzstraße;2;3;5;2;3;Mi
Helmutstraße;7;6;13;2;6;
Henri-Dunant-Straße;6;1;3;5;1;Di
Henriettenweg;5;6;10;4;6;
Herbertstraße;7;6;13;2;6;
Herderstraße;8;10;15;4;10;Do
Herkenweg;1;5;4;2;5;Mo
Hermann-Löns-Weg;6;1;3;5;1;
Hermann-Meiwes-Straße;6;1;3;5;1;
Hermannstraße;7;5;4;2;5;Mo
Hermann-Vennemann-Straße;10;9;11;6;9;
Hermelinweg;7;5;13;2;5;Di
Herzogstraße;4;9;18;3;9;Fr
Hinter dem Acker;10;9;11;6;9;Fr
Hinter der Bahn;7;3;4;2;3;
Hirtenweg;5;7;12;4;7;
Hochemmericher Straße;1;5;4;2;5;Mo
Hochstraße;5;7;12;4;7;Mo
Höferstraße;6;1;3;5;1;Di
Hoffnungsstraße;3;10;16;3;10;Fr
Hofkamp;7;5;13;2;5;
Hofstraße;6;1;3;5;1;
Hohenforsterweg;6;1;3;5;1;
Höhenweg;6;1;3;5;1;
Hoher Weg (*1);4;9;20;6;9;Fr
Holbeinstraße;1;4;2;3;4;
Holderberger Straße (*1);6;2;1;5;2;Di
Hölderlinstraße (*1);8;10;15;4;10;Do
Holunderstraße;8;10;19;6;10;
Homberger Straße (*2) von Nr. 1-109 und 2-120;7;6;17;3;6;Di
Homberger Straße (*2) von Nr.  111-Ende und 122-Ende;7;6;13;2;6;Di
Hopfenstraße;3;3;17;3;3;
Horstmannsweg;4;10;14;3;10;
Hourtenhofstraße;4;9;18;6;9;Fr
Hubertusstraße;3;2;8;3;2;
Huckstraße;10;10;20;6;10;
Hügelstraße;1;4;6;3;4;
Hugostraße;7;5;13;2;5;
Hülsdonker Straße (*1);10;2;14;3;2;Mi
Hülshorstweg;10;1;14;5;1;
Hülskensweg;6;1;3;5;1;
Humboldtstraße;2;3;5;2;3;Mi
Illbrucksweg;10;1;1;5;1;
Illerstraße;6;1;3;5;1;
Im Angerfeld;8;10;19;6;10;
Im Binnefeld;8;10;19;6;10;
Im Boschfeld;8;10;19;6;10;
Im Bruch;7;6;7;2;6;Di
Im Bruckschefeld;6;1;3;5;1;Di
Im Felde;10;9;11;6;9;Fr
Im Grünen Winkel;9;6;7;1;6;
Im Hackerfeld;1;5;4;2;5;
Im Haselbusch;10;1;14;5;1;
Im Hochfeld;10;10;20;6;10;
Im Kä¤mpken;7;6;7;2;6;
Im Krähenfeld;10;10;20;6;10;
Im Kuhfeld;1;4;6;3;4;
Im Meerfeld;10;9;11;6;9;Fr
Im Moerser Feld;3;2;14;1;2;
Im Niederfeld;10;9;11;6;9;
Im Ohl (*1);2;3;5;2;3;Mi
Im Rehwinkel;5;8;15;4;8;
Im Repelener Feld;10;9;11;6;9;
Im Rheinkamper Feld;10;9;11;6;9;
Im Ring;10;9;11;6;9;
Im Rosenthal;3;3;8;3;3;Mi
Im Schommer;8;10;15;6;10;
Im Schroersfeld;10;2;14;3;2;Mi
Im Schwarzen Bruch;6;1;3;5;1;Di
Im Utforter Feld;8;10;19;6;10;
Im Weidekamp;6;2;1;5;2;
Im Weißen Hag;10;9;11;6;9;
Im Winkel;6;2;1;5;2;
In den Gärten;6;1;3;5;1;
In den Weiden;10;2;14;3;2;
In der Dong;4;10;14;3;10;
In Sandfort;4;10;14;3;10;
Industriestraße;6;1;3;5;1;Di
Insterburger Straße;10;9;11;6;9;
Isarstraße;6;1;3;5;1;
Isergebirgsstraße;8;10;19;6;10;Mo
Jägerstraße;8;10;19;6;10;
Jahnstraße;9;8;9;1;8;Mo
Jakob-Schroer-Straße;5;8;15;4;8;
Jakobweg;7;5;13;2;5;
James-Krüss-Straße;6;1;3;5;1;
James-Watt-Straße (Neukirchen-Vluyn);4;10;14;3;10;
Jan-Hus-Straße;1;4;6;3;4;
Joachimstraße (*1);5;6;10;4;6;Di
Jockenstraße;8;10;19;6;10;
Johann-Steegmann-Allee;4;9;20;6;9;Fr
Josef-Peil-Weg;8;10;19;6;10;
Josefstraße;2;3;4;2;3;Di
Jüchenstraße;5;5;15;4;5;
Julius-Genner-Straße;3;3;16;3;3;Mi
Julius-Leber-Straße;2;3;8;2;3;
Jungbornstraße;4;9;18;6;9;Fr
Jupiterweg;5;7;12;4;7;
Jütenstraße;8;10;19;6;10;
Kaiserstraße;2;3;4;2;3;Mi
Kaldenhausener Straße;6;2;1;5;2;
Kamper Straße (*1);4;9;18;3;9;Fr
Kampstraße (*1);8;10;19;6;10;Do
Kantstraße;2;3;5;2;3;Mi
Karl-Hoffmeister-Platz;3;3;17;2;3;Mi
Karl-Hoffmeister-Straße;3;3;17;2;3;
