Firma,Quartier,StraÃŸe,HausNr,PLZ,Ort,URL,Fon,Montag_von,Montag_bis,Montag_Pause,Dienstag_von,Dienstag_bis,Dienstag_Pause,Mittwoch_von,Mittwoch_bis,Mittwoch_Pause,Donnerstag_von,Donnerstag_bis,Donnerstag_Pause,Freitag_von,Freitag_bis,Freitag_Pause,Samstag_von,Samstag_bis,Samstag_Pause,sonstiges,Branche,lng,lat,opening_hours
Geers HÃ¶rakkustik,KÃ¶-Viertel,Homberger Str.,20-22,47441,Moers,www.geers.de,88 23 63,Sep 30,18.00,,Sep 30,18.00,,Sep 30,18.00,,Sep 30,18.00,,Sep 30,18.00,,10.00,14.00,,,HÃ¶rakkustik,663.128,5.145.064,"Mo-Fr 09:30-18:00, Sa 10:00-14:00, PH off"
Genusto,KÃ¶-Viertel,Homberger Str.,9,47441,Moers,www.genusto.de,916 33 47,10.00,18.30,,10.00,18.30,,10.00,18.30,,10.00,18.30,,10.00,18.30,,10.00,16.00,,,Feinkost,663.087,5.145.104,"Mo-Fr 10:00-18:30, Sa 10:00-16:00, PH off"
Hair Haus Friseurpartner,KÃ¶-Viertel,Homberger Str.,41,47441,Moers,,92 17 17,09.00,18.00,13.30 - 14.30,09.00,18.00,13.30 - 14.30,09.00,18.00,13.30 - 14.30,09.00,18.00,13.30 - 14.30,09.00,18.00,13.30 - 14.30,10.00,14.00,,,Friseur,663.359,5.145.052,"Mo-Fr 09:00-13:30,14:30-18:00, Sa 10:00-14:00, PH off"
Juwelier Mardines,KÃ¶-Viertel,Homberger Str.,20-22,47441,Moers,,169 71 07,10.00,19.00,,10.00,19.00,,10.00,19.00,,10.00,19.00,,10.00,19.00,,10.00,18.00,,,Schmuck,663.128,5.145.064,"Mo-Fr 10:00-19:00, Sa 10:00-18:00, PH off"
Lavazza Kaffee-Shop,KÃ¶-Viertel,Homberger Str.,5,47441,Moers,,91 66 091,08.00,18.30,,08.00,18.30,,08.00,18.30,,08.00,18.30,,08.00,18.30,,09.00,18.00,,,Gastronomie,663.058,5.145.110,"Mo-Fr 08:00-18:30, Sa 09:00-18:00, PH off"
Lotto am KÃ¶,KÃ¶-Viertel,Homberger Str.,10,47441,Moers,www.lotto-am-koe.de,26 0 40,09.00,18.30,,09.00,18.30,,09.00,18.30,,09.00,18.30,,09.00,18.30,,09.00,18.00,,,Lotto,663.020,5.145.079,"Mo-Fr 09:00-18:30, Sa 09:00-18:00, PH off"
Lotto Tabak Zeitschriften,KÃ¶-Viertel,Homberger Str.,44,47441,Moers,,981 68 87,08.00,18.30,,08.00,18.30,,08.00,18.30,,08.00,18.30,,08.00,18.30,,09.00,15.00,,,Lotto,663.391,5.145.020,"Mo-Fr 08:00-18:30, Sa 09:00-15:00, PH off"
Maison Kink,KÃ¶-Viertel,Homberger Str.,13,47441,Moers,,2 70 33,10.00,18.30,,10.00,18.30,,10.00,18.30,,10.00,18.30,,10.00,18.30,,10.00,16.00,,,Bekleidung,663.109,5.145.103,"Mo-Fr 10:00-18:30, Sa 10:00-16:00, PH off"
Mediabox,KÃ¶-Viertel,Homberger Str.,56,47441,Moers,,2 27 04,10.00,18.30,,10.00,18.30,,10.00,18.30,,10.00,18.30,,10.00,18.30,,10.00,18.00,,,Telekommunikation,663.455,5.145.009,"Mo-Fr 10:00-18:30, Sa 10:00-18:00, PH off"
Mobilcom,KÃ¶-Viertel,Homberger Str.,7,47441,Moers,www.md.de,88 55 367,10.00,19.00,,10.00,19.00,,10.00,19.00,,10.00,19.00,,10.00,19.00,,10.00,16.00,,,Telekommunikation,663.072,5.145.104,"Mo-Fr 10:00-19:00, Sa 10:00-16:00, PH off"
NÃ¤hmschinen Hegmann,KÃ¶-Viertel,Homberger Str.,3,47441,Moers,,2 28 71,10.00,18.30,,10.00,18.30,,10.00,18.30,,10.00,18.30,,10.00,18.30,,10.00,14.00,,,NÃ¤hmaschinen,663.046,5.145.110,"Mo-Fr 10:00-18:30, Sa 10:00-14:00, PH off"
Optic Schulte,KÃ¶-Viertel,Homberger Str.,22,47441,Moers,www.opticschulte.de,17 76 33,Sep 30,18.30,,Sep 30,18.30,,Sep 30,18.30,,Sep 30,18.30,,Sep 30,18.30,,10.00,16.00,,,Optiker,663.120,5.145.065,"Mo-Fr 09:30-18:30, Sa 10:00-16:00, PH off"
Partykrake,KÃ¶-Viertel,Homberger Str.,17,47441,Moers,www.partykrake.de,88 17 7 57,Sep 30,18.00,,Sep 30,18.00,,Sep 30,18.00,,Sep 30,18.00,,Sep 30,18.00,,10.00,16.00,,,Geschenkartikel,663.131,5.145.094,"Mo-Fr 09:30-18:30, Sa 10:00-16:00, PH off"
PTT Call Center,KÃ¶-Viertel,Homberger Str.,54,47441,Moers,,888 770,09.00,21.00,,09.00,21.00,,09.00,21.00,,09.00,21.00,,09.00,21.00,,09.00,21.00,,,Telekommunikation,663.439,5.145.008,"Mo-Sa 09:00-21:00, PH off"
Sehen & HÃ¶ren Peters,KÃ¶-Viertel,Homberger Str.,51,47441,Moers,,23 56 0,09.00,18.30,13.00 - 14.30,09.00,18.30,13.00 - 14.30,09.00,18.30,13.00 - 14.30,09.00,18.30,13.00 - 14.30,09.00,18.30,13.00 - 14.30,10.00,14.00,,,Optiker,663.506,5.145.025,"Mo-Fr 09:00-13:00,14:30-18:30, Sa 10:00-14:00, PH off"
Stoffe Zander,KÃ¶-Viertel,Homberger Str.,29,47441,Moers,,2 11 66,Sep 30,18.30,,Sep 30,18.30,,Sep 30,18.30,,Sep 30,18.30,,Sep 30,18.30,,Sep 30,15.00,,,Stoffe,663.196,5.145.077,"Mo-Fr 09:30-18:30, Sa 09:30-15:00, PH off"
Strauss Innovation,KÃ¶-Viertel,Homberger Str.,34,47441,Moers,www.strauss-innovation.de,99 99 39 01,Sep 30,19.00,,Sep 30,19.00,,Sep 30,19.00,,Sep 30,19.00,,Sep 30,19.00,,Sep 30,18.00,,,Heimtextilien, Oberbekleidung,663.263,5.145.043,"Mo-Fr 09:30-19:00, Sa 09:30-18:00, PH off"
Mundomio,NeuStrasse,Neustr.,21,47441,Moers,www.mundomio.de,99 80 6 40,Sep 30,18.30,,Sep 30,18.30,,Sep 30,18.30,,Sep 30,18.30,,Sep 30,18.30,,Sep 30,18.00,,,Kinderbekleidung,662.400,5.145.200,"Mo-Fr 09:30-18:30, Sa 09:30-18:00, PH off"
