_id;Straße;Restabfall;Biotonne;Papiertonne;Gelber Sack;Grünschnitt;Kehrtag
295;Fontanestraße;8;8;15;5;8;
296;Forststraße;9;8;15;5;8;
297;Frankenstraße;8;10;19;5;10;
298;Franz-Haniel-Straße;5;6;10;5;6;
299;Franz-Marc-Straße;6;1;3;6;1;
300;Franz-Saumer-Weg;5;7;12;5;7;
301;Franzstraße;1;4;4;2;4;
302;Freiligrathstraße;4;9;18;3;9;
303;Friedenstraße;8;10;19;5;10;
304;Friedhofstraße;6;1;3;6;1;
305;Friedrich-Ebert-Straße;6;1;3;6;1;
306;Friedrich-Schelling-Straße;2;3;5;3;3;
307;Friedrichstraße;3;3;8;3;3;
308;Friemersheimer Straße;1;5;4;2;5;
309;Friesenstraße;8;10;19;5;10;
310;Frietstraße;10;10;20;4;10;
311;Fritz-Husemann-Straße;10;9;11;4;9;
312;Fritz-Peters-Straße;6;1;3;6;1;
313;Fritz-Reuter-Straße;6;1;3;6;1;
314;Fröbelstraße;2;3;4;3;3;
315;Fuchsienweg;6;1;3;6;1;
316;Fuldastraße;9;7;9;1;7;
317;Gabelsbergerstraße;2;3;16;1;3;
318;Galgenbergsheide;9;7;7;5;7;
319;Gallierring;8;10;19;5;10;
320;Galmesweg;4;9;14;3;9;
321;Gartenstraße;2;3;5;3;3;
322;Gaußstraße;2;3;5;3;3;
323;Gebrüder-Grimm-Platz;6;1;3;6;1;
324;Geldernsche Straße;3;2;14;3;2;
325;Gellertstraße;2;3;16;1;3;
326;Genender Platz;4;9;14;3;9;
327;Genender Weg;4;9;14;3;9;
328;Georgstraße;6;1;3;6;1;
329;Geranienstraße;6;1;3;6;1;
330;Gerhardstraße;7;5;13;2;5;
331;Gerhart-Hauptmann-Straße;4;9;18;4;9;
332;Germanenstraße;7;5;13;2;5;
333;Germendonks Kamp;5;7;12;5;7;
334;Germerdonkstraße;6;1;3;6;1;
335;Gertrud-Bäumer-Straße;10;9;11;4;9;
336;Gertrudenweg;6;1;3;6;1;
337;Gimpelweg;5;7;12;5;7;
338;Ginsterweg;1;4;6;2;4;
339;Gladiolenweg;6;1;3;6;1;
340;Gleiwitzer Straße;5;7;10;5;7;
341;Glogauer Straße;5;7;10;5;7;
342;Glückaufstraße;9;8;9;1;8;
343;Glücksburger Straße;9;7;9;1;7;
344;Goebenstraße;2;3;5;3;3;
345;Goethestraße;2;3;17;3;3;
346;Goldammerweg;3;2;8;3;2;
347;Goldaper Weg;10;9;11;4;9;
348;Goldberger Straße;5;7;10;5;7;
349;Görlitzer Straße;5;7;12;5;7;
350;Gotenstraße;7;5;13;2;5;
351;Grabenstraße;6;1;3;6;1;
352;Grafschafter Straße;9;8;9;1;8;
353;Greefstraße;2;3;16;3;3;
354;Grenzstraße;7;5;13;2;5;
355;Greta-Rothe-Straße;7;5;13;5;5;
356;Grillparzerweg;8;8;15;5;8;
357;Grotfeldsweg;6;1;14;6;1;
358;Grubenstraße;4;9;18;4;9;
359;Grünberger Straße;5;7;10;5;7;
360;Grünbergstraße;4;9;14;3;9;
361;Grüner Weg;9;6;7;1;6;
362;Grünewaldstraße;1;4;2;2;4;
363;Grüngürtel;4;9;18;4;9;
364;Guntherstraße;7;5;13;2;5;
365;Gustav-Grossmann-Straße;10;9;11;4;9;
366;Gutenbergstraße;9;8;15;5;8;
367;Haagstraße;3;3;8;3;3;
368;Haarbeckstraße;4;9;18;4;9;
369;Habichtstraße;4;9;18;4;9;
370;Hadrianstraße;7;5;4;2;5;
371;Haffstraße;10;9;11;4;9;
372;Hagebuttenweg;8;10;19;5;10;
373;Hagenstraße;10;10;20;4;10;
374;Hainbuchenstraße;5;6;13;5;6;
375;Haldenstraße;9;8;9;1;8;
376;Hammerstraße;9;8;9;1;8;
377;Hanckwitzstraße;3;3;8;3;3;
378;Händelstraße;6;1;3;6;1;
379;Hans-Böckler-Straße;6;1;3;6;1;
380;Hans-Sachs-Straße;8;8;15;5;8;
381;Hanns-Albeck-Platz;2;3;8;3;3;
382;Hanns-Dieter-Hüsch-Platz;3;3;8;3;3;
383;Hasenweg;3;2;14;3;2;
384;Haspelstraße;5;6;10;5;6;
385;Hattropstraße;5;7;12;5;7;
386;Havelweg;10;10;19;5;10;
387;Hebbelstraße;8;8;15;5;8;
388;Hedwigstraße;6;1;3;6;1;
389;Hegelstraße;2;3;5;3;3;
390;Heideweg;1;4;6;2;4;
391;Heiermannsweg;4;9;18;4;9;
392;Heimbergstraße;1;5;4;2;5;
393;Heinestraße;4;9;18;3;9;
394;Heinrich-Hertz-Straße;4;9;14;3;9;
395;Heinrich-Mann-Straße;6;1;3;6;1;
396;Heinrichstraße;7;5;7;2;5;
397;Heinrich-Zille-Weg;6;1;3;6;1;
398;Heisterfeldstraße;10;10;20;4;10;
399;Heisterweg;8;10;19;5;10;
400;Helenenstraße;6;1;3;6;1;
401;Helmholtzstraße;2;3;5;3;3;
402;Helmutstraße;7;6;13;2;6;
403;Henri-Dunant-Straße;6;1;3;6;1;
404;Henriettenweg;5;6;10;5;6;
405;Herbertstraße;7;6;13;2;6;
406;Herderstraße;8;8;15;5;8;
407;Herkenweg;1;5;4;2;5;
408;Hermann-Löns-Weg;6;1;3;6;1;
409;Hermann-Meiwes-Straße;6;1;3;6;1;
410;Hermannstraße;7;5;4;2;5;
411;Hermann-Vennemann-Straße;10;9;11;4;9;
412;Hermelinweg;7;5;13;2;5;
413;Herzogstraße;4;9;18;3;9;
414;Hinter dem Acker;10;9;11;4;9;
415;Hinter der Bahn;7;3;4;2;3;
416;Hirtenweg;5;7;12;5;7;
417;Hochemmericher Straße;1;5;4;2;5;
418;Hochstraße;5;7;12;5;7;
419;Höferstraße;6;1;3;6;1;
420;Hoffnungsstraße;3;10;16;3;10;
421;Hofkamp;7;5;13;2;5;
422;Hofstraße;6;1;3;6;1;
423;Hohenforsterweg;6;1;3;6;1;
424;Höhenweg;6;1;3;6;1;
425;Hoher Weg;4;9;20;4;9;
426;Holbeinstraße;1;4;2;2;4;
427;Holderberger Straße;6;2;1;6;2;
428;Hölderlinstraße;8;8;15;5;8;
429;Holunderstraße;8;10;19;5;10;
430;Homberger Straße (1-109 und 2-120);0;0;0;0;0;1
