_id;Straße;Restabfall;Biotonne;Papiertonne;Gelber Sack;Grünschnitt;Kehrtag
587;Küppersweg;6;2;1;6;2;
588;Kurlandstraße;10;9;11;4;9;
589;Kurt-Schumacher-Allee;10;9;11;4;9;
590;Kurt-Tucholsky-Straße;6;1;3;6;1;
591;Kurze Straße;2;3;4;3;3;
592;Laakweg;1;4;6;2;4;
593;Landwehrstraße;2;3;16;3;3;
594;Lange Straße;4;9;18;4;9;
595;Länglingsweg;1;4;2;2;4;
596;Lärchenweg;6;2;1;6;2;
597;Latenweg;10;9;11;4;9;
598;Lauersforter Straße;6;2;1;6;2;
599;Lauersforter Waldweg;6;2;1;6;2;
600;Lauffstraße;4;9;18;3;9;
601;Lavendelstraße;8;10;19;5;10;
602;Lehmbruckstraße;1;4;2;2;4;
603;Leibnizstraße;2;3;5;3;3;
604;Leinestraße;6;1;3;6;1;
605;Leipziger Straße;2;4;4;2;4;
606;Leissstraße;9;8;9;1;8;
607;Lerchenstraße;3;2;8;3;2;
608;Lerschstraße;4;9;18;4;9;
610;Lessingstraße;8;8;15;5;8;
611;Leuschnerstraße;4;9;18;4;9;
612;Liebigstraße;2;3;5;3;3;
613;Liebrechtstraße;8;10;19;5;10;
614;Liegnitzer Weg;8;10;19;5;10;
615;Lilienweg;6;1;3;6;1;
616;Lindenstraße;9;8;9;1;8;
617;Linnbruchweg;6;1;3;6;1;
618;Lintforter Straße;4;9;18;3;9;
619;Lippestraße;9;8;9;1;8;
620;Lobelienweg;6;1;3;6;1;
621;Lockertstraße;7;5;4;2;5;
622;Lohestraße;5;7;10;5;7;
623;Lortzingstraße;6;1;3;6;1;
624;Lotharstraße;9;6;9;1;6;
625;Ludwig-Richter-Ring;1;4;2;2;4;
626;Ludwigstraße;6;1;3;6;1;
627;Luisenstraße;9;7;12;5;7;
628;Luiter Straße;6;1;3;6;1;
629;Lupinenweg;6;1;3;6;1;
630;Lützstraße;5;7;10;5;7;
631;Magnolienweg;4;9;20;4;9;
632;Maiblumenstraße;6;1;3;6;1;
633;Mainstraße;9;8;9;1;8;
634;Malmedyer Straße;9;8;9;1;8;
635;Malvenstraße;8;10;19;5;10;
636;Marc-Aurel-Straße;7;3;4;2;3;
637;Marderweg;7;5;13;2;5;
638;Margarethenstraße;1;4;6;2;4;
639;Maria-Djuk-Straße;1;4;6;2;4;
640;Maria-Juchacz-Straße;10;9;11;4;9;
641;Marienburger Straße;9;8;9;1;8;
642;Marienstraße;6;1;3;6;1;
643;Markt;4;10;18;3;10;
644;Marktstraße;8;10;19;5;10;
